title,white_space
theboneandjointcenter.com,0.5615081871345029
two-n.com,0.7388
disney.co.jp,0.6480397660818713
wikipedia.org,0.8946666666666667
news.yahoo.co.jp,0.7544614035087719
huxiu.com,0.7393321637426901
cheshi.com,-0.12030409356725147
humblebundle.com,0.32981461988304095
theatlantic.com,0.6414017543859649
microsoft.com,0.42645555555555553
opera.com,0.7774988304093567
labinthewild.org,0.7999292397660819
richyli.com,0.8759122807017544
pxtoem.com,-0.0025298245614035087
javadrive.jp,0.8962520467836257
jiqimao.tv,0.46925204678362575
clamav.net,-0.021966666666666666
bootcdn.cn,0.5116912280701754
runoob.com,0.837166081871345
tensorfly.cn,0.4363391812865497
journaldugeek.com,0.4343292397660819
matetranslate.com,0.44165730994152047
kameisyouten.ocnk.net,0.592208187134503
gingerweb.jp,0.4627233918128655
cp.pocky.jp,0.553066081871345
aladdin-aic.com,0.3706345029239766
kokage-m.com,0.7135286549707602
steakland.jp,0.0
showroomprive.com,0.38358011695906435
imas-cg.net,0.8396847953216374
filetender.com,0.8672543859649123
hexo.io,0.4004619883040936
yinwang.org,0.9692766081871345
blog.yitianshijie.net,0.6212356725146199
yatani.jp,0.9418970760233918
qiita.com,0.3571877192982456
52nlp.cn,0.8941929824561403
guidetojapanese.org,0.8403134502923977
olderadults.mobi,0.832412865497076
blog.whatsapp.com,0.8105198830409357
lomake.fi,0.9364690058479532
bgmaimuna.com,0.6348900584795322
0dt.net,-0.17774795321637427
web.ics.purdue.edu,0.9453286549707602
canon-foundation.jp,0.3897842105263158
blog.sciencenet.cn,0.7460233918128655
pantone.com,-0.07130760233918129
news.livedoor.com,0.8026309941520468
gmo.jp,0.4499654970760234
tokai-tv.com,0.24172573099415204
life-is-tech.com,-0.0215046783625731
bloomberg.co.jp,0.6459333333333334
cerezo.jp,-0.021219883040935673
tech.nikkeibp.co.jp,0.7137181286549708
jp.techcrunch.com,0.7741894736842105
capcom.co.jp,0.6932976608187135
sankei.com,0.629787134502924
tech-jp.co.jp,0.2793198830409357
tech-camp.in,0.20126315789473684
hasegawa-heart.com,0.6809865497076023
techplay.jp,0.2653549707602339
cps.com.cn,0.5740684210526316
trafst.jp,0.7775742690058479
infoq.com,0.8597631578947369
jcr.incites.thomsonreuters.com,0.7214152046783626
dna.fr,-0.23975497076023392
macg.co,0.5219409356725146
cvpr2018.thecvf.com,0.5137672514619883
chi2019.acm.org,0.5555988304093568
swellnet.com,0.6434760233918129
klex.ru,-0.05334912280701754
theborneopost.com,0.5193356725146199
