title,pixel_symmetry
theboneandjointcenter.com,0.2955587749526842
two-n.com,0.8501340843925178
disney.co.jp,1.237899692268502
wikipedia.org,1.4810585986306313
news.yahoo.co.jp,0.4705872449650241
huxiu.com,0.9471397564760877
cheshi.com,0.8429807469505559
humblebundle.com,0.7687874368591181
theatlantic.com,0.9581090410600362
microsoft.com,0.5142413803403512
opera.com,1.492437141546551
labinthewild.org,1.4690955489200506
richyli.com,2.044313921546566
pxtoem.com,0.6741247105349627
javadrive.jp,1.0728387910239592
jiqimao.tv,0.6559470391428103
clamav.net,0.24893085916707966
bootcdn.cn,1.0043924003730311
runoob.com,0.30643623266002445
tensorfly.cn,0.7770436654338846
journaldugeek.com,1.1500721225452288
matetranslate.com,0.8103871986488391
kameisyouten.ocnk.net,0.6590032074321309
gingerweb.jp,1.3878723763516854
cp.pocky.jp,0.7050862140849421
aladdin-aic.com,0.6055721012139609
kokage-m.com,1.3505619631155665
steakland.jp,1.3215465942300844
showroomprive.com,0.9355668538576192
imas-cg.net,0.0833764332403255
filetender.com,2.2919733842788883
hexo.io,1.7200504109192203
yinwang.org,0.019596307808076648
blog.yitianshijie.net,1.0097789039806697
yatani.jp,0.4277933610897976
qiita.com,0.5130985298442328
52nlp.cn,1.0528454318339497
guidetojapanese.org,0.7193379724410213
olderadults.mobi,1.9588074585798525
blog.whatsapp.com,3.2039470888644366
lomake.fi,0.2021159307604576
bgmaimuna.com,0.9119085595266934
0dt.net,0.6533425460500952
web.ics.purdue.edu,4.039742603583602
canon-foundation.jp,1.1421824887218037
blog.sciencenet.cn,0.7088487398313714
pantone.com,0.6619214134125252
news.livedoor.com,0.8892785635663809
gmo.jp,0.7052692944843019
tokai-tv.com,0.7995899990862669
life-is-tech.com,0.5180037500870527
bloomberg.co.jp,1.1361979680692422
cerezo.jp,0.5404239350545137
tech.nikkeibp.co.jp,0.7590738865131149
jp.techcrunch.com,0.7264811891397619
capcom.co.jp,0.7202993262249231
sankei.com,0.8626502767228382
tech-jp.co.jp,0.7610350605573799
tech-camp.in,0.3660948467496999
hasegawa-heart.com,1.1588077259479284
techplay.jp,0.8059467954973885
cps.com.cn,0.8963392503085895
trafst.jp,1.4928184910272861
infoq.com,0.9776644589552399
jcr.incites.thomsonreuters.com,1.2844009133517607
dna.fr,0.6781215352056081
macg.co,1.196491701924162
cvpr2018.thecvf.com,0.7099385240935066
chi2019.acm.org,1.567077774839798
swellnet.com,2.074321113030696
klex.ru,2.3012076600564533
theborneopost.com,1.0123198256457107
